,",Origin_stop_ID,Origin_stop_name,Destination_stop_ID,Destination_stop_name,Nr_pass_completed,Average_travel_time,Average_number_boardings,Unnamed: 7"
261,"261,5111,Amstelveen_centrum,5121,Amstelstation,17,1649.04,1,"
262,"262,5110,Ouderkerkerlaan,5121,Amstelstation,22,1711.08,1,"
263,"263,5109,Sportlaan,5121,Amstelstation,7,1630.49,1,"
264,"264,5108,Marne,5121,Amstelstation,1,1596.49,1,"
265,"265,5107,Gondel,5121,Amstelstation,2,1961.45,1,"
266,"266,5106,Meent,5121,Amstelstation,3,2086.55,1,"
267,"267,5105,Brink,5121,Amstelstation,2,1962.35,1,"
268,"268,5104,Poortwachter,5121,Amstelstation,8,2069.33,1,"
269,"269,5103,Spinnerij,5121,Amstelstation,2,2159.53,1,"
270,"270,5102,Sacharovlaan,5121,Amstelstation,9,2110.45,1,"
271,"271,5101,Westwijk,5121,Amstelstation,56,2294.18,1,"
272,"272,5126,Centraal_Station,5120,Spaklerweg,54,736.017,1,"
273,"273,5125,Nieuwmarkt,5120,Spaklerweg,17,688.448,1,"
274,"274,5124,Waterlooplein,5120,Spaklerweg,16,608.057,1,"
275,"275,5123,Weesperplein,5120,Spaklerweg,68,485.057,1,"
276,"276,5122,Wibautstraat,5120,Spaklerweg,17,388.627,1,"
277,"277,5121,Amstelstation,5120,Spaklerweg,65,230.844,1,"
278,"278,5013,Van_der_Madeweg,5120,Spaklerweg,6,353.57,1,"
279,"279,5014,Station_Duivendrecht,5120,Spaklerweg,3,474.417,1,"
280,"280,5015,Strandvliet,5120,Spaklerweg,5,633.515,1.6,"
281,"281,5016,Station_Bijlmer_ArenA,5120,Spaklerweg,17,643.848,1.52941,"
282,"282,5017,Bullewijk,5120,Spaklerweg,5,698.433,1,"
283,"283,5018,Station_Holendrecht,5120,Spaklerweg,36,848.755,1.66667,"
284,"284,5019,Reigersbos,5120,Spaklerweg,1,776.611,1,"
285,"285,5020,Gein,5120,Spaklerweg,2,1096.58,1.5,"
286,"286,5306,Venserpolder,5120,Spaklerweg,3,521.694,1,"
287,"287,5305,Station_Diemen-Zuid,5120,Spaklerweg,9,649.293,1,"
288,"288,5304,Verrijn_Stuartweg,5120,Spaklerweg,1,763.604,1,"
289,"289,5302,Kraaiennest_station,5120,Spaklerweg,4,920.621,1,"
290,"290,5301,Gaasperplas,5120,Spaklerweg,5,1000.12,1,"
291,"291,5012,Overamstel,5120,Spaklerweg,6,542.44,1,"
292,"292,5011,Station_RAI,5120,Spaklerweg,9,660.015,1,"
293,"293,5010,Station_Zuid,5120,Spaklerweg,14,715.292,1.21429,"
294,"294,5008,Henk_Sneevlietweg,5120,Spaklerweg,1,1427.98,2,"
295,"295,5006,Station_Lelylaan,5120,Spaklerweg,2,1279.99,2,"
296,"296,5005,Postjesweg,5120,Spaklerweg,1,1437.59,2,"
297,"297,5004,Jan_van_Galenstraat,5120,Spaklerweg,1,1316.03,2,"
298,"298,5002,Station_Sloterdijk,5120,Spaklerweg,3,1750.77,2,"
299,"299,5001,Isolatorweg,5120,Spaklerweg,1,1841.87,2,"
300,"300,5119,De_Boelelaan/VU,5120,Spaklerweg,22,955.722,1,"
301,"301,5118,A.J._Ernststraat,5120,Spaklerweg,3,1104.23,1,"
302,"302,5117,Van_Boshuizenstraat,5120,Spaklerweg,1,1006.8,1,"
303,"303,5116,Uilenstede,5120,Spaklerweg,1,1216.4,1,"
304,"304,5115,Kronenburg,5120,Spaklerweg,1,1230.25,1,"
305,"305,5112,Oranjebaan,5120,Spaklerweg,2,1382.9,1,"
306,"306,5111,Amstelveen_centrum,5120,Spaklerweg,1,1261.44,1,"
307,"307,5110,Ouderkerkerlaan,5120,Spaklerweg,1,1710.06,1,"
308,"308,5107,Gondel,5120,Spaklerweg,1,2020.27,1,"
309,"309,5105,Brink,5120,Spaklerweg,1,1726.47,1,"
310,"310,5104,Poortwachter,5120,Spaklerweg,1,1998.37,1,"
311,"311,5103,Spinnerij,5120,Spaklerweg,1,2369.6,1,"
312,"312,5101,Westwijk,5120,Spaklerweg,8,2188.23,1,"
313,"313,5126,Centraal_Station,5013,Van_der_Madeweg,23,1060.35,1,"
314,"314,5125,Nieuwmarkt,5013,Van_der_Madeweg,10,1008.58,1,"
315,"315,5124,Waterlooplein,5013,Van_der_Madeweg,7,933.622,1,"
316,"316,5123,Weesperplein,5013,Van_der_Madeweg,21,847.02,1,"
317,"317,5122,Wibautstraat,5013,Van_der_Madeweg,14,738.849,1,"
318,"318,5121,Amstelstation,5013,Van_der_Madeweg,14,579.362,1,"
319,"319,5120,Spaklerweg,5013,Van_der_Madeweg,6,430.009,1,"
320,"320,5014,Station_Duivendrecht,5013,Van_der_Madeweg,7,188.559,1,"
321,"321,5015,Strandvliet,5013,Van_der_Madeweg,4,281.818,1,"
322,"322,5016,Station_Bijlmer_ArenA,5013,Van_der_Madeweg,32,388.097,1,"
323,"323,5017,Bullewijk,5013,Van_der_Madeweg,6,477.499,1,"
324,"324,5018,Station_Holendrecht,5013,Van_der_Madeweg,8,614.195,1,"
325,"325,5019,Reigersbos,5013,Van_der_Madeweg,5,718.679,1,"
326,"326,5020,Gein,5013,Van_der_Madeweg,4,811.977,1,"
327,"327,5306,Venserpolder,5013,Van_der_Madeweg,1,435.772,1,"
328,"328,5305,Station_Diemen-Zuid,5013,Van_der_Madeweg,2,463.851,1,"
329,"329,5304,Verrijn_Stuartweg,5013,Van_der_Madeweg,5,598.119,1,"
330,"330,5303,Station_Ganzenhoef,5013,Van_der_Madeweg,5,517.319,1,"
331,"331,5302,Kraaiennest_station,5013,Van_der_Madeweg,1,883.745,1,"
332,"332,5301,Gaasperplas,5013,Van_der_Madeweg,2,803.08,1,"
333,"333,5012,Overamstel,5013,Van_der_Madeweg,1,659.276,1,"
334,"334,5011,Station_RAI,5013,Van_der_Madeweg,6,578.439,1,"
335,"335,5010,Station_Zuid,5013,Van_der_Madeweg,15,651.744,1,"
336,"336,5009,Amstelreenseweg,5013,Van_der_Madeweg,11,950.057,1,"
337,"337,5008,Henk_Sneevlietweg,5013,Van_der_Madeweg,7,1113.38,1,"
338,"338,5006,Station_Lelylaan,5013,Van_der_Madeweg,8,1249.94,1,"
339,"339,5005,Postjesweg,5013,Van_der_Madeweg,1,1223.84,1,"
340,"340,5004,Jan_van_Galenstraat,5013,Van_der_Madeweg,1,1261.64,1,"
341,"341,5003,Burg_De_Vlugtlaan,5013,Van_der_Madeweg,1,1526.33,1,"
342,"342,5002,Station_Sloterdijk,5013,Van_der_Madeweg,4,1469.58,1,"
343,"343,5001,Isolatorweg,5013,Van_der_Madeweg,1,1932.48,1,"
344,"344,5119,De_Boelelaan/VU,5013,Van_der_Madeweg,1,1498.66,2,"
345,"345,5117,Van_Boshuizenstraat,5013,Van_der_Madeweg,1,1224.26,2,"
346,"346,5116,Uilenstede,5013,Van_der_Madeweg,1,1654.14,2,"
